Freq;Real;Imaginaria
1.47000000000000e+03;3.09585358081459e-01;4.62322684002238e-01
1.48000000000000e+03;3.12491027011908e-01;4.63508775590011e-01
1.49000000000000e+03;3.15391792842867e-01;4.64671722671209e-01
1.50000000000000e+03;3.18287471166591e-01;4.65811718256387e-01
1.51000000000000e+03;3.21177881531624e-01;4.66928955994894e-01
1.52000000000000e+03;3.24062847410459e-01;4.68023630107161e-01
1.53000000000000e+03;3.26942196166369e-01;4.69095935318439e-01
1.54000000000000e+03;3.29815759019450e-01;4.70146066794006e-01
1.55000000000000e+03;3.32683371011913e-01;4.71174220075826e-01
1.56000000000000e+03;3.35544870972688e-01;4.72180591020650e-01
1.57000000000000e+03;3.38400101481349e-01;4.73165375739563e-01
1.58000000000000e+03;3.41248908831435e-01;4.74128770538964e-01
1.59000000000000e+03;3.44091142993173e-01;4.75070971862968e-01
1.60000000000000e+03;3.46926657575672e-01;4.75992176237220e-01
1.61000000000000e+03;3.49755309788602e-01;4.76892580214120e-01
1.62000000000000e+03;3.52576960403409e-01;4.77772380319438e-01
1.63000000000000e+03;3.55391473714094e-01;4.78631773000308e-01
1.64000000000000e+03;3.58198717497593e-01;4.79470954574594e-01
1.65000000000000e+03;3.60998562973797e-01;4.80290121181615e-01
1.66000000000000e+03;3.63790884765241e-01;4.81089468734210e-01
1.67000000000000e+03;3.66575560856483e-01;4.81869192872130e-01
1.68000000000000e+03;3.69352472553232e-01;4.82629488916753e-01
1.69000000000000e+03;3.72121504441228e-01;4.83370551827090e-01
1.70000000000000e+03;3.74882544344916e-01;4.84092576157080e-01
1.71000000000000e+03;3.77635483285944e-01;4.84795756014154e-01
1.72000000000000e+03;3.80380215441506e-01;4.85480285019051e-01
1.73000000000000e+03;3.83116638102565e-01;4.86146356266869e-01
1.74000000000000e+03;3.85844651631978e-01;4.86794162289335e-01
1.75000000000000e+03;3.88564159422542e-01;4.87423895018284e-01
1.76000000000000e+03;3.91275067855000e-01;4.88035745750314e-01
1.77000000000000e+03;3.93977286256020e-01;4.88629905112614e-01
1.78000000000000e+03;3.96670726856166e-01;4.89206563029940e-01
1.79000000000000e+03;3.99355304747900e-01;4.89765908692726e-01
1.80000000000000e+03;4.02030937843620e-01;4.90308130526304e-01
1.81000000000000e+03;4.04697546833759e-01;4.90833416161223e-01
1.82000000000000e+03;4.07355055144965e-01;4.91341952404644e-01
1.83000000000000e+03;4.10003388898391e-01;4.91833925212796e-01
1.84000000000000e+03;4.12642476868092e-01;4.92309519664467e-01
