Freq.;Real;Imaginaria
7.90000000000000e+02;8.71071914633198e-01;1.34831651479907e-02
8.00000000000000e+02;8.71233646123926e-01;6.39715405267789e-03
8.10000000000000e+02;8.71280201706948e-01;-6.02336298126893e-04
8.20000000000000e+02;8.71215780677600e-01;-7.51580997406247e-03
8.30000000000000e+02;8.71044413271564e-01;-1.43438108669585e-02
8.40000000000000e+02;8.70769968784884e-01;-2.10869177968017e-02
8.50000000000000e+02;8.70396163282619e-01;-2.77457400987081e-02
8.60000000000000e+02;8.69926566914205e-01;-3.43209136454319e-02
8.70000000000000e+02;8.69364610853399e-01;-4.08130972641966e-02
8.80000000000000e+02;8.68713593880341e-01;-4.72229695105084e-02
8.90000000000000e+02;8.67976688622868e-01;-5.35512257651063e-02
9.00000000000000e+02;8.67156947473737e-01;-5.97985756233811e-02
9.10000000000000e+02;8.66257308199885e-01;-6.59657405494762e-02
9.20000000000000e+02;8.65280599259290e-01;-7.20534517698806e-02
9.30000000000000e+02;8.64229544840404e-01;-7.80624483836997e-02
9.40000000000000e+02;8.63106769638544e-01;-8.39934756689162e-02
9.50000000000000e+02;8.61914803382996e-01;-8.98472835659018e-02
9.60000000000000e+02;8.60656085127999e-01;-9.56246253211930e-02
9.70000000000000e+02;8.59332967320171e-01;-1.01326256276139e-01
9.80000000000000e+02;8.57947719654328e-01;-1.06952932786466e-01
9.90000000000000e+02;8.56502532729112e-01;-1.12505411260123e-01
1.00000000000000e+03;8.54999521513216e-01;-1.17984447301937e-01
1.01000000000000e+03;8.53440728632523e-01;-1.23390794954706e-01
1.02000000000000e+03;8.51828127487886e-01;-1.28725206027312e-01
1.03000000000000e+03;8.50163625212799e-01;-1.33988429501318e-01
1.04000000000000e+03;8.48449065479730e-01;-1.39181211008334e-01
1.05000000000000e+03;8.46686231163386e-01;-1.44304292371137e-01
1.06000000000000e+03;8.44876846868781e-01;-1.49358411202205e-01
1.07000000000000e+03;8.43022581331505e-01;-1.54344300553914e-01
1.08000000000000e+03;8.41125049697229e-01;-1.59262688615188e-01
1.09000000000000e+03;8.39185815687055e-01;-1.64114298449892e-01
1.10000000000000e+03;8.37206393654998e-01;-1.68899847772689e-01
1.11000000000000e+03;8.35188250543498e-01;-1.73620048758495e-01
1.12000000000000e+03;8.33132807742553e-01;-1.78275607882042e-01
1.13000000000000e+03;8.31041442857754e-01;-1.82867225784364e-01
1.14000000000000e+03;8.28915491392190e-01;-1.87395597163354e-01
1.15000000000000e+03;8.26756248346926e-01;-1.91861410685790e-01
1.16000000000000e+03;8.24564969744487e-01;-1.96265348918501e-01
1.17000000000000e+03;8.22342874079534e-01;-2.00608088276536e-01
1.18000000000000e+03;8.20091143700671e-01;-2.04890298986443e-01
1.19000000000000e+03;8.17810926127118e-01;-2.09112645062916e-01
1.20000000000000e+03;8.15503335303757e-01;-2.13275784297269e-01
1.21000000000000e+03;8.13169452797861e-01;-2.17380368256306e-01
1.22000000000000e+03;8.10810328940647e-01;-2.21427042290353e-01
1.23000000000000e+03;8.08426983916591e-01;-2.25416445549287e-01
1.24000000000000e+03;8.06020408803289e-01;-2.29349211005551e-01
1.25000000000000e+03;8.03591566564502e-01;-2.33225965483226e-01
1.26000000000000e+03;8.01141392998846e-01;-2.37047329692333e-01
1.27000000000000e+03;7.98670797646479e-01;-2.40813918267630e-01
1.28000000000000e+03;7.96180664655984e-01;-2.44526339811230e-01
1.29000000000000e+03;7.93671853613535e-01;-2.48185196938449e-01
1.30000000000000e+03;7.91145200336299e-01;-2.51791086326349e-01
1.31000000000000e+03;7.88601517631956e-01;-2.55344598764514e-01
1.32000000000000e+03;7.86041596026051e-01;-2.58846319207616e-01
1.33000000000000e+03;7.83466204458864e-01;-2.62296826829424e-01
1.34000000000000e+03;7.80876090953337e-01;-2.65696695077889e-01
1.35000000000000e+03;7.78271983255545e-01;-2.69046491731048e-01
1.36000000000000e+03;7.75654589449095e-01;-2.72346778953457e-01
1.37000000000000e+03;7.73024598544768e-01;-2.75598113352951e-01
1.38000000000000e+03;7.70382681046653e-01;-2.78801046037505e-01
1.39000000000000e+03;7.67729489495935e-01;-2.81956122672052e-01
1.40000000000000e+03;7.65065658993454e-01;-2.85063883535078e-01
1.41000000000000e+03;7.62391807702077e-01;-2.88124863574885e-01
1.42000000000000e+03;7.59708537329880e-01;-2.91139592465403e-01
1.43000000000000e+03;7.57016433595061e-01;-2.94108594661453e-01
1.44000000000000e+03;7.54316066673492e-01;-2.97032389453386e-01
1.45000000000000e+03;7.51607991629715e-01;-2.99911491021027e-01
1.46000000000000e+03;7.48892748832209e-01;-3.02746408486874e-01
1.47000000000000e+03;7.46170864353642e-01;-3.05537645968506e-01
1.48000000000000e+03;7.43442850356839e-01;-3.08285702630160e-01
1.49000000000000e+03;7.40709205467128e-01;-3.10991072733466e-01
1.50000000000000e+03;7.37970415131688e-01;-3.13654245687297e-01
1.51000000000000e+03;7.35226951966522e-01;-3.16275706096748e-01
1.52000000000000e+03;7.32479276091589e-01;-3.18855933811222e-01
1.53000000000000e+03;7.29727835454674e-01;-3.21395403971619e-01
1.54000000000000e+03;7.26973066144459e-01;-3.23894587056648e-01
1.55000000000000e+03;7.24215392693318e-01;-3.26353948928250e-01
1.56000000000000e+03;7.21455228370265e-01;-3.28773950876157e-01
1.57000000000000e+03;7.18692975464497e-01;-3.31155049661584e-01
1.58000000000000e+03;7.15929025559947e-01;-3.33497697560095e-01
1.59000000000000e+03;7.13163759801229e-01;-3.35802342403629e-01
1.60000000000000e+03;7.10397549151337e-01;-3.38069427621732e-01
1.61000000000000e+03;7.07630754641469e-01;-3.40299392282001e-01
1.62000000000000e+03;7.04863727613279e-01;-3.42492671129766e-01
1.63000000000000e+03;7.02096809953897e-01;-3.44649694627034e-01
1.64000000000000e+03;6.99330334323995e-01;-3.46770888990716e-01
1.65000000000000e+03;6.96564624379199e-01;-3.48856676230162e-01
1.66000000000000e+03;6.93799994985098e-01;-3.50907474184028e-01
1.67000000000000e+03;6.91036752426125e-01;-3.52923696556499e-01
1.68000000000000e+03;6.88275194608535e-01;-3.54905752952893e-01
1.69000000000000e+03;6.85515611257719e-01;-3.56854048914666e-01
1.70000000000000e+03;6.82758284110073e-01;-3.58768985953851e-01
1.71000000000000e+03;6.80003487099622e-01;-3.60650961586947e-01
1.72000000000000e+03;6.77251486539618e-01;-3.62500369368277e-01
1.73000000000000e+03;6.74502541299262e-01;-3.64317598922853e-01
1.74000000000000e+03;6.71756902975775e-01;-3.66103035978752e-01
1.75000000000000e+03;6.69014816061951e-01;-3.67857062399043e-01
